x, y, z, ,
-1601614.061201, -5042001.676547, 3554652.455603, 25.  W08,
-1602592.823528, -5042055.013423, 3554140.652770, 25.  W16,
-1604008.701913, -5042135.835806, 3553403.666765, 25.  W24,
-1605808.598184, -5042230.070459, 3552459.167358, 25.  W32,
-1607962.411673, -5042338.157771, 3551324.887280, 25.  W40,
-1610451.987125, -5042471.380472, 3550021.011562, 25.  W48,
-1613255.373440, -5042613.052534, 3548545.864364, 25.  W56,
-1616361.554136, -5042770.440739, 3546911.386423, 25.  W64,
-1619757.278011, -5042937.574555, 3545120.332832, 25.  W72,
-1600801.880602, -5042219.386677, 3554706.382285, 25.  E08,
-1599926.059409, -5042772.992580, 3554319.742840, 25.  E16,
-1598663.046405, -5043581.426755, 3553766.973356, 25.  E24,
-1597053.095558, -5044604.747750, 3553058.947311, 25.  E32,
-1595124.918941, -5045829.515575, 3552210.615356, 25.  E40,
-1592894.065650, -5047229.198656, 3551221.180045, 25.  E48,
-1590380.588363, -5048810.325262, 3550108.401088, 25.  E56,
-1587600.201930, -5050575.976082, 3548885.379419, 25.  E64,
-1584460.899441, -5052385.734791, 3547599.958930, 25.  E72,
-1601147.885235, -5041733.855114, 3555235.914849, 25.  N08,
-1601061.915919, -5041175.907706, 3556057.981979, 25.  N16,
-1600929.966850, -5040316.401791, 3557330.277550, 25.  N24,
-1600780.996259, -5039347.463556, 3558761.487153, 25.  N32,
-1600592.692550, -5038121.380641, 3560574.803338, 25.  N40,
-1600374.808396, -5036704.253012, 3562667.855946, 25.  N48,
-1600128.313994, -5035104.177252, 3565024.645048, 25.  N56,
-1599855.570998, -5033332.403323, 3567636.578590, 25.  N64,
-1599557.838366, -5031396.391942, 3570494.716758, 25.  N72,
